frame_number,time_seconds,hands_detected,dom_hand_confidence,dom_hand_x,dom_hand_y,dominant_hand_velocity,dominant_hand_acceleration
700,11.864406779661017,1,0.9858229756355286,107.0,457.0,0.0,0
710,12.033898305084746,1,0.9833881258964539,91.0,446.0,19.4164878389476,0
720,12.203389830508474,1,0.9903368353843689,106.0,447.0,15.033296378372908,0
730,12.372881355932204,1,0.9901435971260071,129.0,447.0,23.0,0
740,12.542372881355933,1,0.9887791872024536,157.0,429.0,33.28663395418648,0
750,12.711864406779661,1,0.9873005747795105,162.0,426.0,5.830951894845301,0
760,12.88135593220339,1,0.9844509363174438,158.0,421.0,6.4031242374328485,0
770,13.05084745762712,1,0.9865701198577881,171.0,417.0,13.601470508735444,0
780,13.220338983050848,1,0.9822918176651001,199.0,414.0,28.160255680657446,0
790,13.389830508474576,1,0.984571099281311,221.0,411.0,22.20360331117452,0
800,13.559322033898304,1,0.9794431924819946,229.0,411.0,8.0,0
810,13.728813559322035,1,0.9821403622627258,235.0,411.0,6.0,0
820,13.898305084745763,1,0.9848206639289856,231.0,411.0,4.0,0
830,14.067796610169491,1,0.9862197041511536,237.0,411.0,6.0,0
840,14.23728813559322,1,0.9875761866569519,237.0,407.0,4.0,0
850,14.40677966101695,1,0.988401472568512,205.0,412.0,32.38826948140329,0
860,14.576271186440678,1,0.9813805818557739,263.0,491.0,98.00510190801293,0
870,14.745762711864407,0,0.0,,,0.0,0
880,14.915254237288135,0,0.0,,,0.0,0
890,15.084745762711865,0,0.0,,,0.0,0
900,15.254237288135593,0,0.0,,,0.0,0
910,15.423728813559322,0,0.0,,,0.0,0
920,15.59322033898305,0,0.0,,,0.0,0
930,15.76271186440678,0,0.0,,,0.0,0
940,15.932203389830509,0,0.0,,,0.0,0
950,16.10169491525424,0,0.0,,,0.0,0
960,16.271186440677965,0,0.0,,,0.0,0
970,16.440677966101696,0,0.0,,,0.0,0
980,16.610169491525422,0,0.0,,,0.0,0
990,16.779661016949152,0,0.0,,,0.0,0
1000,16.949152542372882,0,0.0,,,0.0,0
1010,17.11864406779661,1,0.9937355518341064,149.0,515.0,0.0,0
1020,17.28813559322034,1,0.9933525323867798,96.0,503.0,54.3415126767741,0
1030,17.45762711864407,1,0.9946632385253906,100.0,477.0,26.30589287593181,0
1040,17.627118644067796,1,0.9911898374557495,134.0,461.0,37.57658845611187,0
1050,17.796610169491526,1,0.9925559163093567,146.0,435.0,28.635642126552707,0
1060,17.966101694915253,1,0.986237108707428,201.0,412.0,59.61543424315552,0
1070,18.135593220338983,1,0.9854967594146729,222.0,397.0,25.80697580112788,0
1080,18.305084745762713,1,0.9854007363319397,237.0,396.0,15.033296378372908,0
1090,18.47457627118644,1,0.9822936654090881,244.0,398.0,7.280109889280518,0
